LeftColumn,RightColumn
8.4580, 1.5999
5.4157, 5.5335
8.6185, 4.7310
9.4112, 1.6167
6.7387, 3.6126
2.4652, 7.2742
11.2585, -1.6134
5.2578, 5.4630
3.8084, 6.2598
3.7301, 8.8678
2.7844, 7.1451
8.3016, 0.3349
2.8356, 7.8878
5.5881, 4.3539
8.4719, 1.3911
2.0124, 7.6625
5.7893, 5.0818
1.5281, 8.1228
2.7178, 7.1844
10.8837, 0.6185
6.8438, 3.9131
3.2927, 5.4719
6.1491, 2.2628
5.4799, 3.1557
7.9954, 1.9942
5.2284, 3.9234
2.2551, 8.5641
5.7100, 4.9095
6.4910, 0.4898
5.6810, 6.2838
9.3078, 2.3947
-1.1102, 10.3807
4.2349, 4.9782
3.9902, 8.4789
5.2944, 5.2478
4.9561, 5.3235
5.3073, 6.4412
5.0143, 6.7300
8.7782, 1.9137
7.6701, 3.7180
5.9196, 4.0994
7.6222, 2.0321
6.6660, 2.8390
5.7032, 4.3338
1.2527, 8.8487
2.5840, 9.3353
6.0848, 3.5905
7.1207, 2.8012
0.1197, 8.6090
4.9265, 5.8776
10.9886, 0.3494
2.8072, 3.1480
7.2241, 3.8938
3.3106, 6.9109
0.5114, 10.1973
2.5142, 7.8887
1.6321, 6.5315
1.8916, 8.3835
2.7175, 6.2021
3.7358, 5.7999
6.9926, 4.5658
3.8865, 7.1258
2.1867, 7.7013
7.9230, 4.1036
5.9058, 1.7381
6.9107, 4.1460
-1.7215, 10.0430
-0.0547, 7.0297
1.4741, 7.2350
2.7155, 7.7740
7.8414, 3.6947
5.0374, 5.4051
5.7938, 5.3706
4.3938, 5.5712
4.3669, 6.1628
4.9464, 4.4504
1.5666, 5.3893
5.2233, 6.4349
7.8803, 1.4591
3.3420, 5.7207
1.8739, 7.1301
11.7400, -0.8314
6.7426, 3.5147
0.9419, 8.8594
3.5820, 5.6873
1.6994, 6.0439
9.6782, -1.2065
5.2320, 5.5369
0.7478, 10.4685
5.3841, 4.9595
12.1450, -4.2751
2.6828, 6.4677
5.3908, 4.6892
3.4984, 6.5709
7.5355, 3.0752
0.6886, 7.3050
6.7346, 3.8665
5.1414, 7.9598
7.3038, 4.7112
8.0904, 3.7201
1.7280, 6.3211
5.8560, 5.3231
6.4451, 5.2403
4.5184, 6.1813
10.8327, 1.1183
6.7922, 3.5667
9.7459, 0.7420
3.8237, 5.2930
10.3956, 0.0916
4.3976, 3.4236
6.1309, 6.0199
9.8752, 0.6257
4.3598, 5.8707
5.5778, 3.9215
4.8733, 7.9524
5.3843, 7.0321
5.8736, 4.9120
6.5924, 1.9587
-2.5195, 11.4610
8.8264, 0.9106
5.4695, 5.0109
1.2923, 7.4450
9.7705, 0.8152
-1.3827, 10.2530
3.3577, 5.1151
6.2141, 3.4534
5.3172, 7.5466
4.6711, 2.0123
5.7823, 4.0184
4.2362, 6.1065
9.5199, 0.2654
4.4742, 5.2337
-0.0603, 9.5062
1.2334, 6.7867
3.5908, 5.8767
8.3259, 1.9752
5.3193, 5.7069
4.5796, 4.9108
6.3304, 3.3821
1.4044, 8.9386
4.5477, 5.1013
4.1531, 6.3932
1.3710, 9.5715
2.8068, 9.4634
6.7009, 4.3754
9.1942, 1.8358
9.4996, 2.0861
5.6600, 5.8817
7.6578, 4.3732
1.4993, 9.6791
1.9602, 7.9184
6.2789, 4.7542
8.6664, -0.7840
3.0536, 5.2274
7.5477, 3.6060
7.2452, 2.1192
4.7292, 3.6171
4.0431, 6.4036
1.3043, 8.3088
3.8373, 8.2427
1.0455, 9.2181
4.8981, 4.6209
5.9033, 3.9730
5.1270, 5.9114
2.7264, 8.8821
4.2455, 5.3352
6.5115, 4.5991
1.1223, 7.9524
3.6224, 6.2227
9.6579, 1.9398
7.2103, 0.0448
4.8181, 4.2285
8.1486, 0.5007
7.5337, 2.4905
7.0751, 1.8661
5.2705, 4.5476
3.1657, 8.5819
10.2458, 0.3614
6.9100, 2.2578
4.6434, 4.1190
2.4313, 7.0465
5.3247, 4.0468
7.3120, -0.0101
1.7517, 8.6627
4.8650, 5.5283
2.7520, 6.5014
4.9404, 5.9876
6.2598, 7.6957
6.5857, 2.1809
8.4780, 2.7622
6.0474, 5.3110
1.1356, 8.3560
8.7985, 3.1051
6.3756, 3.1851
2.1525, 5.1676
2.3922, 8.4096
2.7599, 7.4029
12.3486, -1.2376
4.2990, 4.8702
0.4728, 9.8139
8.7595, 1.4243
7.8098, 3.1724
5.3938, 5.2605
3.4997, 6.4379
4.3728, 5.8322
5.6997, 3.9315
-0.0283, 5.5411
4.4434, 7.0539
0.9403, 7.9680
2.2346, 7.4765
0.0476, 8.7128
6.3679, 1.8480
6.5565, 6.9952
6.1794, 4.0165
10.5676, -0.2601
-0.1756, 10.9183
9.6141, 2.3127
4.6609, 8.2445
4.8793, 4.7748
5.4318, 3.6800
6.2973, 2.8143
5.0700, 5.2043
5.4522, 6.4767
14.2279, -2.5678
6.2920, 4.9260
1.6953, 6.9266
5.9805, 3.8325
9.0687, 1.6569
3.6055, 6.2620
4.1337, 5.5689
-0.6199, 9.4837
5.7429, 5.4720
10.1453, 0.7238
2.3043, 6.7137
8.6041, 2.3375
5.6765, 3.7744
1.0309, 8.4555
8.0399, 4.3536
5.2520, 4.6461
6.4178, 3.6032
3.3827, 4.4150
7.4739, 4.3776
6.2745, 5.6699
9.2457, -0.6184
5.7119, 5.7128
4.5207, 6.5676
6.7703, 5.9495
8.3630, 1.3761
9.0836, 1.5812
11.3052, -1.2881
12.0599, -2.3134
5.4568, 2.2321
8.9486, 1.5688
4.0741, 7.0284
0.6748, 9.6293
1.9808, 7.2454
6.3441, 3.3307
10.0891, 1.7677
2.0940, 10.1589
4.8294, 4.8502
-1.5373, 7.8774
4.0033, 6.7379
4.9750, 3.8810
6.4226, 5.2290
5.2450, 7.8158
3.9413, 7.1094
8.3110, 2.5755
4.4978, 7.0144
1.3377, 9.4425
3.0733, 5.7928
4.1503, 4.7875
6.1180, 1.7414
-0.1374, 9.1501
7.4241, 1.7575
0.2496, 9.0313
3.5476, 6.2193
5.3973, 2.6994
8.3861, 1.5878
8.1501, 3.6976
9.8619, 2.3391
3.2467, 6.1149
6.2266, 5.7849
-2.4008, 12.8651
2.9434, 8.2507
10.9879, -1.9329
4.3117, 4.0141
2.0421, 7.6480
4.6553, 4.9217
5.2085, 4.8122
6.2216, 3.4757
0.8869, 8.9246
5.7107, 7.3576
6.7688, 3.7264
6.5350, 3.3031
9.1491, 1.0652
4.4581, 5.8146
10.1866, 1.2000
-1.0842, 10.3668
7.2589, 4.4166
7.4225, 2.9712
4.6188, 6.2384
0.7371, 8.8241
0.9641, 6.8695
2.4225, 5.0421
2.8272, 9.3945
7.9743, 2.6983
8.8836, 3.6860
3.8219, 5.4572
5.6578, 4.4864
2.6898, 7.2843
3.0804, 6.3553
0.7941, 7.2188
8.3353, 4.7327
3.0530, 5.1744
0.4392, 7.9678
2.5622, 6.6953
5.4496, 5.6063
4.1330, 7.0029
4.2335, 5.9711
3.7062, 5.4002
-0.9979, 12.9332
2.9621, 6.1207
1.6537, 7.5775
7.1867, 3.2845
4.4513, 4.1038
4.6628, 6.6239
2.2736, 9.8047
1.1235, 6.6244
10.7797, 1.3580
7.5133, 1.6515
6.0653, 2.8969
6.1091, 5.1198
4.3753, 7.2252
6.2885, 2.8238
2.9331, 7.8472
6.1633, 4.2079
7.1974, 2.5725
5.8794, 3.9192
1.8293, 8.1995
3.4693, 7.0488
10.4055, 1.0922
7.1694, 4.1714
5.8274, 7.0498
0.1820, 8.1711
5.7193, 5.2293
11.1082, -0.8120
6.2241, 2.2014
3.3713, 5.8591
5.6636, 3.6660
5.7336, 4.9902
6.2862, 7.7277
4.8093, 3.7737
3.8747, 5.3294
3.3918, 4.9438
3.6729, 8.1100
10.1592, 2.1441
5.0335, 5.7141
3.9469, 6.1507
4.2126, 3.8581
2.1529, 4.3801
7.3938, 0.9630
6.9088, 4.1845
7.1796, 4.2877
6.5779, 3.5169
1.4776, 10.5805
6.5191, 4.0948
-0.3037, 7.9124
2.5671, 7.9329
3.0487, 6.1832
2.8440, 11.6421
9.3669, -0.9156
6.8478, 4.0329
4.9543, 6.1465
2.2724, 5.3544
7.1413, 3.4253
-0.1502, 9.7272
6.4854, 4.3635
4.5290, 4.4262
-1.8882, 12.5950
4.8607, 7.1419
6.5358, 4.3625
5.1291, 5.0675
3.2331, 6.8287
8.2920, 1.3097
8.2810, 3.2414
8.9188, 1.7214
2.9708, 6.7829
0.8653, 9.6359
3.1590, 7.6332
5.5598, 1.3945
6.8698, 2.1784
0.8635, 7.6850
5.9116, 5.6753
8.9768, 0.7531
6.2146, 5.5224
4.8978, 6.7168
-5.2493, 16.9584
4.2994, 6.6221
7.1303, 3.1985
5.8117, 6.7452
4.6201, 5.2996
0.5716, 8.6892
4.0881, 5.5577
8.0492, 2.5148
7.3983, 4.3907
8.0583, 4.7958
5.1428, 3.5942
-0.2724, 8.7479
1.3552, 7.6728
4.9742, 5.3572
9.8987, 0.3527
6.1304, 2.7528
2.0137, 10.1284
7.6549, 2.9757
2.2347, 6.9852
5.3047, 3.2891
4.3001, 8.1698
5.6203, 5.8258
0.7775, 9.2810
6.6095, 3.1023
7.2784, 1.9299
3.3692, 8.8505
7.9523, 1.8037
7.6233, 0.0472
7.7608, 6.2108
2.2552, 6.2431
1.7171, 6.8321
7.8090, 1.3086
7.3657, 2.1804
2.5093, 4.4178
7.8445, 3.4533
1.0448, 8.0862
1.1631, 7.1826
9.8080, 3.3408
7.4983, 3.6587
6.0692, 4.9622
4.8723, 5.5912
1.6004, 7.9296
7.2585, 1.5353
3.8362, 6.9553
4.1920, 5.7758
3.7686, 8.1427
2.5876, 6.5203
0.9644, 9.7833
7.5028, 1.4254
4.5148, 5.9680
6.4598, 4.0815
5.6533, 4.5971
10.5184, 0.8974
2.7503, 6.9816
3.5505, 8.1225
3.0508, 4.7585
3.8757, 6.0962
4.9906, 3.8499
8.1576, 3.8930
8.1625, 3.1120
3.0513, 7.2451
6.9634, 2.2426
4.6669, 5.5847
6.0986, 3.1153
4.7813, 4.2455
8.1538, 4.2288
7.1169, 3.6227
0.1319, 7.3844
5.7599, 3.0162
2.1366, 9.2943
2.0377, 5.0845
1.5742, 10.1482
3.1140, 7.2288
4.5134, 6.3062
4.1595, 6.6413
8.9874, -0.0007
5.4705, 6.2727
2.3310, 7.7846
4.0975, 3.2164
4.4459, 3.9359
5.5315, 2.7527
10.0903, 1.7786
7.8050, 2.5771
2.8356, 8.0478
0.7686, 5.4973
7.8218, 2.7151
7.4812, 3.9887
4.5104, 6.8405
5.4051, 3.7461
3.3573, 5.1629
3.3214, 4.7724
6.9339, 3.0820
8.0391, 1.3364
3.8990, 4.2751
15.6287, -2.9947
6.3264, 3.9590
8.3438, 2.8706
3.7804, 6.6410
6.9059, 3.0769
1.9047, 8.0041
5.5759, 4.2227
3.6181, 6.4830
4.5821, 7.1375
2.4355, 7.9950
6.9204, 3.4162
9.7000, -0.1638
4.9566, 6.2667
0.2740, 9.5413
6.4139, 4.7300
5.5370, 5.0551
4.3556, 3.8201
3.8864, 5.9043
6.5422, 4.0901
3.6850, 7.7371
5.7971, 4.7292
5.9974, 6.0215
5.4097, 7.5815
-0.1765, 10.1438
6.2963, 4.4519
7.6502, 4.9357
2.8686, 5.1502
4.7826, 6.4868
12.2450, -2.0729
3.9887, 7.8944
3.4978, 5.6924
8.6898, 0.1179
-1.2072, 9.6325
10.2065, -1.6074
3.7878, 5.4733
9.0888, 4.1708
2.9701, 7.3384
4.4938, 5.6044
2.0392, 7.5234
4.3513, 5.4345
9.9879, -0.9429
5.1256, 3.8104
3.8121, 5.7424
2.9256, 7.6322
3.5785, 6.2370
0.1803, 10.0856
6.0350, 4.5962
7.6227, 4.0057
10.9946, 2.7673
7.7270, 4.7835
7.4037, 3.3068
6.0480, 3.5190
3.2158, 7.0980
0.9003, 7.5629
4.6483, 4.2050
4.3091, 6.9997
3.5792, 6.3513
9.8112, -0.7875
9.4127, 2.1491
8.5248, 1.5176
4.2364, 8.5328
8.9944, 1.3449
4.4249, 7.0356
6.7211, 3.7092
3.7265, 5.1240
5.0352, 6.2598
3.3559, 8.3887
3.7124, 5.3277
7.5806, 4.2439
8.6666, 2.1156
7.9302, 3.0555
5.8012, 4.6726
0.6146, 9.4060
1.5471, 7.6930
7.1976, 2.3330
10.0716, 0.8628
3.2353, 6.3484
3.8949, 4.8061
5.8572, 5.4474
2.2106, 8.3302
5.3392, 5.4701
3.3621, 8.1927
-0.3839, 9.5791
-1.3659, 10.7716
9.4126, 2.4839
10.0548, -0.4350
-2.3009, 11.6618
3.9724, 6.7775
2.7875, 9.5644
4.2982, 5.4451
5.4058, 3.9788
7.9346, 2.9480
6.3244, 4.7056
8.5581, 1.5196
6.6756, 1.8792
1.7474, 9.9949
6.4676, 4.6616
9.2209, 1.4716
4.6730, 6.0290
3.1559, 7.4655
14.0796, -5.3065
3.3453, 5.5210
1.8575, 7.5329
2.0407, 8.5779
5.6329, 5.0978
6.1330, 3.8989
4.8165, 7.0631
9.2775, 2.0791
7.0866, 2.7159
4.2444, 2.6514
-1.5627, 12.5111
6.4536, 6.0115
5.6242, 4.7930
4.4933, 4.2278
7.7881, 3.3820
7.7427, 3.9577
5.3829, 3.9756
5.1113, 4.6180
1.4422, 9.8561
5.8665, 4.3899
5.1488, 4.0507
5.2597, 4.3824
4.0621, 5.2123
2.5831, 6.1664
8.6183, 3.1350
8.5503, 1.7217
-0.2207, 8.2370
2.0960, 8.8519
3.8782, 6.8049
4.1253, 6.2515
2.1232, 7.6306
0.5473, 8.6456
3.3124, 4.9405
1.6114, 10.3490
11.8204, -1.7729
0.0047, 7.4442
7.1413, 4.5324
8.5879, 3.3021
7.0639, 4.6159
-1.5072, 10.3729
6.4577, -0.2252
6.6242, 3.6547
4.1570, 6.3122
4.5149, 3.8243
9.2299, 2.0494
-0.2244, 9.6257
6.3904, 4.3503
5.6316, 3.9259
10.2373, 0.2721
7.1015, 3.5152
3.7160, 5.7395
3.2420, 5.3243
3.5439, 5.7556
7.4032, 2.5161
-0.1574, 9.1158
8.2710, 1.5066
0.8746, 9.1926
4.1602, 3.3387
1.7739, 7.6252
-1.6271, 11.3546
4.5887, 4.2371
3.8976, 8.1671
4.7639, 6.2133
2.4187, 7.2749
7.6627, 5.0478
7.3143, 3.4278
3.5216, 5.3892
6.5846, 3.7997
2.6696, 9.3314
3.7364, 6.8086
11.0436, 0.4967
10.0781, 2.1418
4.4446, 7.1451
5.4687, 5.4718
4.9623, 5.1525
9.7835, 1.5665
3.2648, 6.9493
2.7347, 7.6069
8.3602, 2.8303
-0.8990, 12.5365
5.1707, 5.5792
9.7367, 0.1129
5.9517, 2.3842
6.0879, 5.8370
7.3577, 3.4853
7.2795, 6.0171
3.1996, 5.6276
3.1006, 5.7974
4.9152, 7.6359
10.9819, -0.9969
7.6508, 2.8238
9.7881, 2.0189
3.9212, 4.8452
4.9668, 5.9697
4.6987, 6.0553
10.5443, 1.3632
0.0087, 11.5410
2.8043, 5.3082
3.6999, 7.3942
2.4038, 8.1331
3.7125, 5.4022
8.1799, -0.4014
6.1680, 2.5742
5.1572, 3.5275
6.2803, 5.1540
3.8724, 6.8646
2.1361, 12.3487
10.1428, -0.3922
8.9927, -0.9300
4.2141, 5.7047
5.3412, 4.1217
2.1544, 6.0327
6.4952, 5.2644
5.4250, 3.1080
0.2849, 6.3486
7.0843, 3.1170
0.8499, 7.6018
4.3882, 6.1968
8.6346, 1.0110
3.8317, 2.7821
5.6905, 4.2184
2.8802, 7.5083
1.0204, 8.7647
2.9418, 6.6374
7.2187, 3.6725
3.8946, 7.4237
0.2948, 8.8584
5.1023, 3.7068
8.1132, 3.8480
6.0749, 2.1126
8.0033, 3.6678
7.6765, 3.4364
6.2745, 3.5945
9.4967, 2.7549
5.0630, 4.7512
7.1941, 1.9416
3.3704, 9.3466
4.9533, 3.0867
-0.9280, 11.3773
8.5127, 1.4528
4.4247, 3.8949
4.0955, 6.0364
4.5743, 5.8910
4.7519, 5.1343
-2.8448, 11.3475
4.2320, 4.2962
7.6298, 4.5885
3.3550, 7.1790
3.3298, 5.6543
5.1006, 6.0243
6.1208, 3.6495
6.4124, 4.4207
9.3921, 1.4320
2.0680, 8.0776
9.2301, -1.7222
4.6141, 5.9812
2.1892, 8.0696
4.2944, 4.0643
4.4279, 6.6573
9.8173, 2.4460
4.5992, 6.4877
9.1679, 2.8927
2.6485, 7.2733
7.3864, 3.1003
3.9202, 6.0844
2.8444, 6.5752
8.9209, 3.1807
6.5758, 5.5902
1.3720, 8.8122
-1.6894, 9.8947
4.8980, 6.6593
10.9013, 1.2620
5.4158, 5.4482
3.2817, 4.3735
4.8400, 5.0842
5.5455, 4.9834
3.6622, 5.8054
3.6673, 4.8067
9.9054, -1.2521
-0.4518, 9.1413
4.7418, 4.8542
8.1901, 3.2960
7.4016, 3.7119
5.1661, 4.1540
4.8489, 2.8491
8.8058, 3.2741
5.5384, 6.2514
1.3583, 11.1356
4.7133, 6.7986
4.8732, 6.9368
2.3183, 7.1221
4.7239, 5.7540
3.0857, 9.7130
8.3450, 2.3098
3.0563, 7.1616
4.4763, 3.3206
4.0695, 5.0134
9.3137, -0.3950
5.6268, 4.2553
5.5599, 3.4284
5.5672, 3.8023
6.0184, 4.3613
4.5519, 3.5658
2.6185, 6.7156
6.9351, 4.4122
8.0042, 3.2496
8.0478, 3.5957
0.9706, 8.4880
4.5540, 6.4589
4.9886, 5.1827
4.4668, 5.8274
1.2917, 10.7431
1.8504, 8.2026
8.9793, 3.3782
6.2236, 3.2477
11.2032, -1.9271
6.6198, 3.2740
9.6680, -0.7511
4.9712, 6.1292
6.4832, 4.1368
2.9835, 6.5470
2.8517, 5.4144
2.6250, 6.3471
7.0477, 4.6937
6.1778, 5.3757
9.0575, 0.3419
3.0404, 3.9858
4.1196, 4.7403
7.8735, 1.8117
5.0937, 4.3735
7.5810, 2.4007
5.5362, 4.7886
6.2277, 2.4080
1.6779, 6.1278
7.3599, 0.9237
3.0402, 5.0352
6.0027, 4.6409
4.4583, 6.6564
3.8350, 6.3570
4.3524, 6.4485
6.1907, 4.4329
2.6213, 7.6529
7.3623, 3.3300
5.9820, 3.4690
9.6288, -0.5564
2.1644, 8.9133
5.0742, 4.9131
3.0020, 8.0919
3.5316, 6.8054
10.9423, 1.7190
3.6917, 5.3536
8.0161, 0.3158
3.1523, 9.1652
8.7060, 0.8971
2.6802, 5.1067
10.4494, 0.2890
2.4030, 8.3450
4.3922, 4.3915
9.4650, 0.8690
-0.2747, 11.0496
2.7592, 8.7783
5.2539, 5.5179
4.2236, 5.6125
6.4015, 0.5517
7.9581, 4.6159
0.8378, 8.8642
5.2074, 4.5541
1.8613, 8.2233
2.7474, 6.9983
5.4724, 4.6075
2.2161, 6.5128
6.0917, 2.9087
7.9770, 2.9157
9.2898, 1.1585
-0.2493, 9.1702
7.2468, 2.4903
2.9382, 6.4356
2.6639, 7.9479
0.8928, 7.9504
11.7343, -1.2391
3.6219, 6.9006
6.1570, 4.3079
5.5559, 5.5120
-0.1010, 11.7115
9.5331, 0.5716
4.5227, 5.5653
5.5547, 4.7531
8.6236, 1.7772
7.9247, 1.1438
7.2633, 3.9750
0.0573, 8.1963
6.6236, 1.2747
4.0100, 6.8413
-2.1311, 9.4678
3.8520, 5.4399
3.2645, 6.7609
11.3986, -0.5080
10.1072, 1.8108
2.0721, 7.8623
4.2024, 4.9138
4.2697, 4.7968
9.7172, -1.7483
11.8160, -2.6311
6.6360, 0.8958
5.8736, 5.6513
4.4299, 7.6975
6.3165, 3.7965
3.5529, 7.2462
3.8096, 4.8243
4.5419, 6.7502
7.2001, 3.4298
7.0164, 3.3409
8.4435, 2.6501
2.7021, 7.0527
6.1479, 3.9647
9.1833, 2.1734
3.2555, 5.5404
4.4367, 4.3593
5.2500, 4.0269
6.4666, 6.1070
4.4826, 5.9972
3.6466, 4.4341
1.5503, 10.2633
6.1008, 3.4573
3.3515, 2.8959
4.7086, 5.4534
6.3702, 5.8192
8.3990, -3.1273
6.5077, 0.4204
6.3752, 3.3518
4.1322, 5.3032
-0.5300, 9.2090
7.2155, 2.1620
8.4345, 1.3883
11.9452, -1.9210
7.4859, 3.4424
7.5324, 3.4167
8.2192, 0.3851
7.3947, 2.2855
2.9279, 7.9011
4.8087, 4.8771
7.5934, 2.5087
1.9892, 8.7589
4.4312, 5.8651
-0.3415, 8.9763
5.3462, 3.2702
7.5573, 1.4922
7.0540, 3.6677
6.6037, 3.7914
5.6370, 5.5178
6.5770, 3.7706
3.0094, 4.9353
4.7989, 4.6871
7.7360, 3.1244
-0.9153, 10.5237
8.7701, -0.0808
2.4014, 7.7465
0.4608, 9.6283
0.7355, 9.9244
2.9448, 7.9904
2.6869, 6.6765
2.1134, 6.2548
4.9583, 5.2340
5.1811, 5.1575
6.3387, 4.9261
8.9578, 2.3628
5.7197, 5.7620
4.1179, 3.3591
-2.3382, 8.9007
6.9487, 2.3895
5.5509, 5.5940
8.6899, 2.5175
5.0668, 5.1513
5.8220, 3.4603
7.4315, 2.1343
10.4582, -0.5058
4.2502, 3.5802
-1.0925, 11.6503
8.6499, 2.2556
7.5401, 3.2634
4.1279, 2.6112
5.4672, 6.1714
4.0226, 4.6452
9.9758, 1.4963
6.6687, 3.9866
3.3915, 6.7139
6.2252, 2.5256
8.5404, 1.1397
2.3870, 5.1628
5.6980, 6.4654
2.8527, 6.2751
3.7655, 6.0831
-2.9221, 12.6418
5.9922, 4.1283
2.5839, 7.5722
9.2184, 2.9455
4.5017, 5.3271
6.3766, 3.7254
5.4272, 4.6760
3.0563, 4.1136
1.7018, 8.9302
4.2960, 3.5386
9.4842, 1.5315
5.8290, 5.0575
3.9749, 6.7329
7.7067, 2.6232
4.3693, 6.9407
1.6756, 7.8438
5.7546, 3.5692
9.2666, 1.8926
2.8548, 8.8184
0.7093, 8.0608
6.3296, 1.7458
3.0963, 7.9292
5.0328, 6.9126
4.7195, 6.5430
4.9231, 3.5385
7.5543, 4.0736
6.6893, 4.5627
7.0773, 2.4733
10.6583, -0.4615
5.6024, 1.8434
2.8588, 8.8535
9.4136, 0.1952
9.5514, -0.1041
7.5485, 2.6987
3.4425, 5.1271
13.9225, -0.8146
1.9101, 9.7621
5.1079, 5.2452
3.3456, 4.9038
5.2699, 4.1818
4.3277, 5.8148
1.3953, 9.7668
3.2366, 6.5820
2.6337, 5.7241
1.3752, 7.6594
4.5178, 5.2230
6.3708, 2.4044
3.2101, 3.8374
5.1458, 2.2822
4.4422, 3.8979
2.3872, 5.8775
1.5606, 10.2963
3.0242, 7.5277
4.5837, 3.5431
7.6048, 2.5393
2.5580, 6.9823
10.6707, -1.8333
5.9865, 4.6030
4.9196, 5.1326
7.0335, 0.9156
0.8470, 9.1102
4.4921, 5.6941
6.0982, 4.9496
6.0467, 3.1921
4.4841, 5.2572
-1.0864, 10.3442
5.1241, 5.6479
3.8335, 5.1633
8.3582, 0.0176
3.9159, 5.0845
5.6593, 3.1238
3.2684, 6.8815
4.3219, 8.5343
5.6547, 7.1486
3.8026, 6.6663
4.1483, 5.4329
11.3699, 2.5443
2.2475, 7.5926
5.6361, 4.8567
9.7179, -0.2341
5.3742, 3.4671
4.6282, 3.4935
3.0492, 6.4898
5.6974, 2.7786
4.5040, 7.3704
6.0005, 4.4826
9.5158, 2.4371
9.0591, 0.6029
4.1073, 5.2294
12.3390, -1.0561
3.1791, 5.5644
2.2016, 8.0103
-0.5929, 9.2646
5.7624, 3.2357
3.6390, 5.3201
4.6313, 6.7489
5.6746, 4.9359
4.0125, 5.1361
10.2320, 0.6302
1.7700, 10.5037
6.1206, 3.5946
7.2689, 2.2699
8.3087, 0.2939
5.1492, 3.6742
3.7400, 6.7096
9.5308, 1.0593
5.0411, 2.8860
9.1908, 3.0079
4.2130, 4.2672
6.3149, 2.4203
4.6010, 6.7177
7.9611, 1.9448
1.8370, 8.9810
3.0448, 7.3515
3.0407, 8.9662
4.7729, 6.3381
0.4551, 7.0833
0.4707, 9.2584
6.0485, 0.3864
5.9245, 4.2926
7.8004, 2.2090
2.3700, 6.8026
-0.7219, 9.5724
4.0650, 4.0923
12.3732, -3.2298
10.7297, -1.2616
7.1913, -0.9370
0.3493, 11.7698
